0.000000	0.000000	0.000000	
-1.091696	-0.611409	-0.754208	
0.599301	0.678251	-0.096308	
-1.336343	0.931225	0.964265	
0.130675	-0.936517	0.149601	
0.586767	-0.361602	-0.841166	
-0.489481	-1.953664	-1.825928	
-0.089087	-0.372304	1.792984	
-0.276855	-1.734567	-1.784223	
-0.995170	0.066617	0.176290	
-0.027432	0.286384	0.500001	
-0.671575	0.362495	0.005651	
-0.977084	-2.522682	1.544390	
0.632477	0.673954	0.363841	
-0.416913	0.772897	0.482694	
1.419100	3.238276	-2.390678	
-0.735532	-0.151757	-0.526189	
1.691913	-3.096342	3.950784	
-1.316782	4.152494	4.107768	
0.109324	-0.233172	-0.398761	
-0.871736	1.266703	-2.127668	
-0.067727	-0.465737	0.442099	
-1.967280	-4.452043	3.660025	
-0.484680	-0.595362	0.174771	
0.514820	1.525439	1.427097	
0.584564	-0.810865	1.695550	
-0.060484	-0.112521	1.091116	
0.617380	-1.136889	-0.276682	
-0.169357	0.423461	0.154337	
0.467845	-0.202210	-1.066114	
-0.686781	0.322791	1.016019	
-0.155438	0.893004	0.286512	
-0.135760	-0.217130	0.500000	
-1.680462	-4.096410	3.154259	
0.443681	-0.723150	1.593096	
-0.057453	2.382841	2.257634	
0.237064	-2.646980	-2.668382	
0.840818	-0.021785	-0.815977	
0.869653	1.541967	-0.848514	
-0.745190	-0.938954	0.629654	
-0.337123	-1.450146	0.455239	
0.384833	0.205745	-0.007013	
0.060028	2.265465	2.242813	
0.412848	0.035519	-0.647014	
0.219592	1.099745	-0.493306	
-0.068530	0.067713	-0.538923	
-1.551249	1.056562	1.097251	
0.088589	-0.079424	0.259277	
-0.554616	0.582991	-0.966655	
-0.177731	-0.481351	0.915377	
-0.467916	0.569781	0.282926	
-0.885420	0.618128	0.816778	
-0.223891	0.034683	0.792641	
-0.936580	0.975886	0.018060	
-1.312972	2.123921	-2.933113	
0.826059	0.916159	0.881039	
-1.522182	2.699883	-3.570257	
-1.144650	1.561016	-2.229949	
1.051306	-0.726706	-0.721745	
-1.206995	0.767382	0.988644	
0.342808	-0.143153	0.875468	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-0.569170	-0.727383	-1.200080	-1.703894	0.594349	1.123943	-1.934997	-1.464141	-1.347896	-0.958468	-1.042324	-0.194271	2.195293	0.248733	-0.338757	-3.376719	0.019561	-4.644075	5.518944	-0.128169	1.663417	-0.339843	5.454968	0.277859	1.141988	-1.565480	-0.627512	1.323526	0.067429	1.294026	-1.184782	-0.463476	-0.590920	4.820292	-1.074072	2.280005	-3.030919	0.374261	-1.527865	0.480885	1.380815	-0.787759	2.346609	-0.032635	-0.597568	0.631348	-1.413994	-0.588572	0.674689	-0.178658	-0.485692	-0.831945	-0.308395	-0.191910	3.028986	0.815475	3.846341	2.093352	0.863711	-1.232859	-0.992980	
