0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-1.218234	0.083394	-0.625947	0.648776	0.295475	0.009782	-0.273734	0.791153	0.619985	0.447815	-0.710598	0.651705	0.352767	-0.038794	-0.451946	-1.021265	-0.857619	-0.299159	-0.719975	-0.668608	0.991279	-0.079552	-0.717925	
-1.264841	-1.074767	-0.331676	-0.019676	0.074818	0.124438	0.131906	-0.754337	0.234822	-0.193402	-0.393416	-0.985233	0.115332	0.466652	0.505913	-0.058347	-0.492637	0.657278	0.360772	0.821464	0.763445	-0.006874	-0.798465	
-0.422848	-0.616189	0.657945	-0.590738	0.643282	0.699749	0.984562	0.965318	0.164531	-0.293236	-0.559296	-0.504846	0.578447	-1.052383	-0.342607	-0.900767	0.278860	-0.951067	-1.032721	0.801258	-0.470085	-0.461355	0.183437	
-0.316120	0.490912	0.268711	-0.202107	-0.752457	0.315209	-0.238324	-0.262737	0.716365	0.304288	-0.969868	0.010610	-0.417387	0.282362	0.030946	-0.041146	-0.461969	-0.880022	-0.731257	-0.329390	0.427900	-0.141781	0.805867	
-0.107599	-0.400658	-0.782901	0.167580	-0.249156	-1.045589	0.245167	-0.122695	-0.815629	0.806120	-0.797635	0.736469	0.314383	-0.466845	-0.224526	-0.944070	0.839322	0.261970	-0.809463	0.626350	0.502529	0.010359	-0.784009	
-0.992329	0.480574	-0.180671	-0.772799	0.004842	0.400435	-0.271270	-0.545746	0.010569	0.219702	0.354365	0.279147	-0.216815	-0.920211	-0.426344	0.514156	-1.076361	-0.102451	0.200595	-0.261109	-0.891913	0.809944	0.766657	
-0.467228	-0.422911	-0.188644	-0.396543	0.496591	-0.528600	-0.239390	-0.594951	0.839850	-0.520223	0.369777	0.030180	-0.710828	0.419167	0.572971	-0.314462	-0.112918	0.659857	-1.071875	0.855706	0.004622	-1.046683	-0.092236	
-0.949676	0.611659	0.181678	0.312928	-0.542989	0.691349	-0.765288	-0.811748	0.436559	-0.435712	0.808704	-0.506516	-0.407490	-0.797871	0.392034	0.601346	0.355845	0.149168	0.452742	-0.526111	-0.732182	-1.007342	-0.878021	
0.027579	0.606473	-0.618704	-1.022476	-0.223540	-1.214812	-0.989929	-0.287785	0.323147	0.200427	-0.081434	-1.022255	-0.302781	-0.782212	0.193595	-0.633013	-0.356679	-0.782425	-0.109179	-0.217406	-0.042553	-0.996345	-0.324548	
0.365703	0.199100	0.722783	-0.724045	-0.284966	-0.707852	0.892735	-0.223063	0.818131	-1.015499	0.016836	-1.058175	-0.376462	0.613319	-1.144846	0.560106	-0.633000	-0.739690	0.364499	-0.330203	-0.724842	0.150687	0.126327	
-0.696652	-0.147957	0.072248	0.098525	0.408657	0.448776	0.069971	0.297087	0.021014	-0.332318	-0.694270	0.424788	0.063955	0.762668	-0.567754	-0.685347	0.133587	0.306345	0.062158	-0.421981	-0.153898	-1.000709	0.301181	
-0.443856	0.093296	0.217121	0.430378	-0.932598	-0.044305	0.548900	0.648902	0.067585	0.303688	-1.058096	0.195208	0.814255	-0.509470	-0.003576	-0.534224	-0.803009	-0.939547	0.575048	0.532607	0.311736	-0.874337	-0.537524	
-1.174601	-0.874642	0.231956	0.573751	-0.047072	-0.192956	-0.257687	-0.460398	-0.108816	-0.022692	-0.709171	-0.361966	0.470664	-0.377984	0.644675	0.904514	0.726584	0.422309	-0.436118	0.842674	-0.800349	-0.933066	0.495560	
-0.471524	0.106781	0.785837	-0.989317	0.581822	0.163951	-0.490508	-0.915174	-0.105173	-0.653449	-0.521646	0.740949	0.004624	0.227609	-0.870494	-0.117072	-0.347244	-0.115825	0.472909	-0.099942	-0.358582	0.248053	-0.068964	
-0.427418	-0.242108	-1.107612	0.265188	-1.151591	0.034973	0.557633	-0.133740	0.429777	-0.028707	-0.232314	0.595909	0.137628	-0.256110	0.931444	0.266215	-0.662271	-0.290228	-0.801200	0.394679	0.783034	0.074420	-1.123270	
-0.654655	-0.965804	0.195950	-0.816222	0.610681	0.649654	0.118704	0.371315	0.638412	-1.038285	-0.813287	0.350639	0.169873	-0.628754	-0.931631	-0.725476	0.184998	-0.381223	-0.424428	-0.328221	0.258493	0.541082	0.549825	
-0.393734	0.132524	0.509858	0.634385	-0.948866	0.083037	-0.352441	-0.629537	-0.845578	0.605485	-0.963949	-0.236947	0.053540	-0.492795	-0.008370	-0.662710	-0.502188	-0.915894	0.465842	-0.894390	-0.609110	0.384791	0.585359	
0.203495	0.430974	0.201219	-0.251303	0.848273	-0.493342	0.749428	-0.549954	-0.539547	0.022373	0.890947	-0.980010	-0.927104	-0.037402	-0.225460	-0.878509	-0.536337	0.745059	-0.555147	-0.709286	-0.733334	0.898875	-0.785043	
-1.221149	-0.977844	-0.421967	0.738328	-0.289593	-0.224497	0.801983	0.583132	-0.023862	0.590949	0.293170	-0.298875	-0.575997	-1.085496	-0.042629	0.816302	-0.295290	-0.609771	0.079931	-0.580094	0.278511	0.801916	-0.216774	
0.114030	-1.060898	0.746437	0.039955	0.281985	-0.046046	-0.884821	-0.690186	-0.334793	-1.064544	-0.217552	-0.877054	0.283229	0.672683	-0.913359	0.569833	0.259800	0.304466	0.511156	-0.050788	0.242652	-0.861040	0.214296	
-0.100078	0.356399	-1.094106	0.648132	0.332966	0.354908	-0.919253	-0.023436	0.732264	-1.075018	-0.662693	-0.933536	0.736240	0.015783	-0.631242	0.641862	-0.452210	0.220002	-0.711908	-0.816284	-0.625264	-0.041364	0.742493	
-0.933697	0.769311	-0.144920	-0.921091	0.453046	-0.740034	0.873522	0.484192	0.679802	-0.635027	-0.140452	-1.045478	0.447321	-0.828186	-0.250300	-0.441706	0.916372	-0.997005	-0.575552	-0.706861	-0.595762	-0.789796	0.138268	
-0.018229	0.666733	-0.822237	0.363728	0.105123	0.117959	0.620106	-0.290523	0.637943	0.121153	-0.907384	0.062896	-0.070853	-0.365362	0.677587	-0.125929	-0.048258	-0.130589	-0.690868	-0.405375	-0.496543	-1.121576	0.397924	
-0.981237	-0.855109	-0.249490	0.147018	-0.975972	-0.670539	-0.742003	0.253085	-0.107615	0.208503	0.406172	-0.099079	0.389864	-0.187010	0.687466	0.194240	-0.598991	0.891421	0.734198	-0.245395	0.934660	-0.681346	0.727659	
-0.517907	-0.267443	0.102224	0.287152	-1.018506	-0.561684	-0.619236	-0.330519	0.639626	0.265437	0.299323	0.633130	-0.372220	-0.364054	0.650008	-0.538839	-0.377761	-0.010454	-0.441921	0.321054	0.347141	0.331995	0.340888	
-0.839976	-0.611271	-0.464354	0.344369	0.801726	-0.280883	0.019724	-0.796054	0.800640	-0.607768	0.022092	0.295701	-0.137260	0.360499	-0.834541	-0.856966	-0.865292	-0.962036	-0.308286	-0.404803	0.374513	-0.735487	-0.231880	
-1.183317	0.262951	0.360833	-0.687417	0.303135	0.144356	0.221079	-0.002076	-0.894544	-0.001248	-0.993350	0.856123	-0.165256	0.846441	0.362150	-0.031674	0.266291	0.292136	-0.349118	-0.315947	-0.993103	0.526725	-0.753508	
-1.124699	-0.423648	0.522500	-0.627025	-0.421909	-0.089577	-1.040539	-0.177712	-0.039826	0.157983	0.464253	-0.250200	-0.352844	0.632247	0.830594	0.191255	0.937643	-0.951724	0.065186	0.664648	-0.290911	-0.453611	-0.499965	
-1.499103	0.235075	-0.310309	-1.057332	-1.235699	-0.258894	0.579594	0.786049	-0.232248	0.462095	0.262741	0.676593	0.820419	0.235587	0.254003	-0.790180	0.621513	-0.060476	0.173776	0.146949	0.080743	0.547899	0.234238	
